Row No,PC,Opcode,Function,Line No,File,Directory,Cycles,Status
699,0x7009F740,0x0000B948,prvCopyDataToQueue,2141,queue.c,FreeRTOS-Kernel,698,
700,0x7009F742,0x0000E7FF,prvCopyDataToQueue,2141,queue.c,FreeRTOS-Kernel,699,
701,0x7009F744,0x00009805,prvCopyDataToQueue,2144,queue.c,FreeRTOS-Kernel,700,
702,0x7009F746,0x00006880,prvCopyDataToQueue,2144,queue.c,FreeRTOS-Kernel,701,
703,0x7009F748,0xF7FEFFBA,prvCopyDataToQueue,2144,queue.c,FreeRTOS-Kernel,702,
704,0x7009E6C0,0x0000B580,xTaskPriorityDisinherit,4147,tasks.c,FreeRTOS-Kernel,703,
705,0x7009E6C2,0x0000B086,xTaskPriorityDisinherit,4147,tasks.c,FreeRTOS-Kernel,704,
706,0x7009E6C4,0x00009005,xTaskPriorityDisinherit,4147,tasks.c,FreeRTOS-Kernel,705,
707,0x7009E6C6,0x00009805,xTaskPriorityDisinherit,4148,tasks.c,FreeRTOS-Kernel,706,
708,0x7009E6C8,0x00009004,xTaskPriorityDisinherit,4148,tasks.c,FreeRTOS-Kernel,707,
709,0x7009AAFC,0x00009009,xQueueGenericSend,866,queue.c,FreeRTOS-Kernel,708,
710,0x7009AAFE,0x00009806,xQueueGenericSend,870,queue.c,FreeRTOS-Kernel,709,
711,0x7009AB00,0x00006A40,xQueueGenericSend,870,queue.c,FreeRTOS-Kernel,710,
712,0x7009AB02,0x0000B150,xQueueGenericSend,870,queue.c,FreeRTOS-Kernel,711,
713,0x7009AB04,0x0000E7FF,xQueueGenericSend,870,queue.c,FreeRTOS-Kernel,712,
714,0x7009AB06,0x00009806,xQueueGenericSend,872,queue.c,FreeRTOS-Kernel,713,
715,0x7009AB08,0x00003024,xQueueGenericSend,872,queue.c,FreeRTOS-Kernel,714,
716,0x7009AB0A,0xF004FBD9,xQueueGenericSend,872,queue.c,FreeRTOS-Kernel,715,
717,0x7009F2C0,0x0000B580,xTaskRemoveFromEventList,3166,tasks.c,FreeRTOS-Kernel,716,
718,0x7009F2C2,0x0000B084,xTaskRemoveFromEventList,3166,tasks.c,FreeRTOS-Kernel,717,
719,0x7009F2C4,0x00009003,xTaskRemoveFromEventList,3166,tasks.c,FreeRTOS-Kernel,718,
720,0x7009F2C6,0x00009803,xTaskRemoveFromEventList,3183,tasks.c,FreeRTOS-Kernel,719,
721,0x7009F2C8,0x000068C0,xTaskRemoveFromEventList,3183,tasks.c,FreeRTOS-Kernel,720,
722,0x7009F2CA,0x000068C0,xTaskRemoveFromEventList,3183,tasks.c,FreeRTOS-Kernel,721,
723,0x7009F2CC,0x00009002,xTaskRemoveFromEventList,3183,tasks.c,FreeRTOS-Kernel,722,
724,0x7009F2CE,0x00009802,xTaskRemoveFromEventList,3184,tasks.c,FreeRTOS-Kernel,723,
725,0x7009F2D0,0xF247318E,xTaskRemoveFromEventList,3184,tasks.c,FreeRTOS-Kernel,724,
726,0x7009F2D4,0xF2C7010A,xTaskRemoveFromEventList,3184,tasks.c,FreeRTOS-Kernel,725,
727,0x7009F2D8,0x0000466A,xTaskRemoveFromEventList,3184,tasks.c,FreeRTOS-Kernel,726,
728,0x7009F2DA,0x00006011,xTaskRemoveFromEventList,3184,tasks.c,FreeRTOS-Kernel,727,
729,0x7009F2DC,0xF247518B,xTaskRemoveFromEventList,3184,tasks.c,FreeRTOS-Kernel,728,
730,0x7009F2E0,0xF2C7010A,xTaskRemoveFromEventList,3184,tasks.c,FreeRTOS-Kernel,729,
731,0x7009F2E4,0xF24742C7,xTaskRemoveFromEventList,3184,tasks.c,FreeRTOS-Kernel,730,
732,0x7009F2E8,0xF2C7020A,xTaskRemoveFromEventList,3184,tasks.c,FreeRTOS-Kernel,731,
733,0x7009F2EC,0xF44F6347,xTaskRemoveFromEventList,3184,tasks.c,FreeRTOS-Kernel,732,
734,0x7009F2F0,0xF002FFC6,xTaskRemoveFromEventList,3184,tasks.c,FreeRTOS-Kernel,733,
735,0x700A2280,0x0000B5B0,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,734,
736,0x700A2282,0x0000B08E,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,735,
737,0x700A2284,0xF8DDC048,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,736,
738,0x700A2288,0x0000900D,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,737,
739,0x700A228A,0x0000910C,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,738,
740,0x700A228C,0x0000920B,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,739,
741,0x700A228E,0x0000930A,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,740,
742,0x700A2290,0x0000980D,_DebugP_assert,92,DebugP_log.c,../nortos/dpl/common,741,
743,0x700A2292,0x0000BB88,_DebugP_assert,92,DebugP_log.c,../nortos/dpl/common,742,
744,0x7009AB2C,0x00002001,xQueueGenericSend,0,queue.c,FreeRTOS-Kernel,743,
745,0x7009AB2E,0x0000900F,xQueueGenericSend,901,queue.c,FreeRTOS-Kernel,744,
746,0x7009AB30,0x0000E05B,xQueueGenericSend,901,queue.c,FreeRTOS-Kernel,745,
747,0x7009ABEA,0x0000980F,xQueueGenericSend,980,queue.c,FreeRTOS-Kernel,746,
748,0x7009ABEC,0x0000B010,xQueueGenericSend,980,queue.c,FreeRTOS-Kernel,747,
749,0x7009ABEE,0x0000BD80,xQueueGenericSend,980,queue.c,FreeRTOS-Kernel,748,
750,0x700A4818,0x00003801,tm_semaphore_put,251,tm_porting_layer_freertos.c,..,749,
751,0x700A481A,0x0000BF18,tm_semaphore_put,251,tm_porting_layer_freertos.c,..,750,
752,0x700A481C,0x00002001,tm_semaphore_put,251,tm_porting_layer_freertos.c,..,751,
753,0x700A481E,0x0000BD80,tm_semaphore_put,256,tm_porting_layer_freertos.c,..,752,
754,,,,,,,,End of trace, Entered debug state when halting debug-mode is enabled
