Row No,PC,Opcode,Function,Line No,File,Directory,Cycles,Status
551,0x7009AA22,0x0000E7FF,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,550,
552,0x7009AA24,0x00009905,xQueueGenericSend,0,queue.c,FreeRTOS-Kernel,551,
553,0x7009AA26,0x00002001,xQueueGenericSend,0,queue.c,FreeRTOS-Kernel,552,
554,0x7009AA28,0x00004388,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,553,
555,0x7009AA2A,0xF6461108,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,554,
556,0x7009AA2E,0xF2C7010A,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,555,
557,0x7009AA32,0x0000466A,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,556,
558,0x7009AA34,0x00006011,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,557,
559,0x7009AA36,0xF2475173,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,558,
560,0x7009AA3A,0xF2C7010A,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,559,
561,0x7009AA3E,0xF647023D,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,560,
562,0x7009AA42,0xF2C7020A,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,561,
563,0x7009AA46,0xF240330D,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,562,
564,0x7009AA4A,0xF007FC19,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,563,
565,0x700A2280,0x0000B5B0,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,564,
566,0x700A2282,0x0000B08E,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,565,
567,0x700A2284,0xF8DDC048,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,566,
568,0x700A2288,0x0000900D,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,567,
569,0x700A228A,0x0000910C,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,568,
